produto_descricao,codigo_sku,lote,quantidade,venda_media,data_vencimento,janela_critica,previsao_escoamento,dias_p_vencer,status_rotina
BRUTAL FRUIT LONG NECK 275ML SIX-PACK,31795,LOT-31795-20260918,3 cx,4.1 cx/dia,18/09/2026,19/08/2026,06/08/2026,44d,SEGURO
BRUTAL FRUIT LONG NECK 275ML SIX-PACK,31795,LOT-31795-20260918,36 cx,4.1 cx/dia,18/09/2026,19/08/2026,14/08/2026,44d,SEGURO
PEPSI TWIST LATA 350ML SH C/12 NPAL,9093,LOT-9093-20260925,60 cx,5.9 cx/dia,25/09/2026,26/08/2026,16/08/2026,51d,SEGURO
SUKITA PET 1L CAIXA C/12,347,LOT-347-20260925,24 cx,11.3 cx/dia,25/09/2026,26/08/2026,08/08/2026,51d,SEGURO
PEPSI TWIST LATA 350ML SH C/12 NPAL,9093,LOT-9093-20260925,32 cx,5.9 cx/dia,25/09/2026,26/08/2026,11/08/2026,51d,SEGURO
SODA LIMONADA ANTARCTICA PET 200ML,18267,LOT-18267-20260926,8 cx,11.3 cx/dia,26/09/2026,27/08/2026,06/08/2026,52d,SEGURO
