sku,produto_descricao,quantidade_estoque,venda_media_diaria,valor_unitario,hectolitro_por_unidade,venda_3m_caixas,venda_3m_reais,venda_3m_hl,pct_individual_reais,pct_acumulado_reais,classe_abc,requires_manual_review
"21666","RED BULL TROPICAL BR LATA 250ML FOUR-PACK",306,16.1,85.00,0.0100,1449.00,123165.00,14.4900,31.46%,31.46%,"A",false
"31795","BRUTAL FRUIT LONG NECK 275ML SIX-PACK",58,4.1,85.00,0.0165,1107.00,94095.00,18.2655,24.03%,55.49%,"A",false
"9093","PEPSI TWIST LATA 350ML SH C/12 NPAL",92,5.9,45.00,0.0420,1062.00,47790.00,44.6040,12.21%,67.70%,"A",false
"347","SUKITA PET 1L CAIXA C/12",24,11.3,42.00,0.1200,1017.00,42714.00,122.0400,10.91%,78.61%,"A",true
"18267","SODA LIMONADA ANTARCTICA PET 200ML",8,11.3,35.00,0.0240,1017.00,35595.00,24.4080,9.09%,87.70%,"B",false
"23269","SKOL BEATS GT LONG NECK 269ML SIX-PACK",5,3.8,85.00,0.0161,342.00,29070.00,5.5199,7.42%,95.12%,"C",false
"838","CHOPP BRAHMA CLARO BARRIL KEG 50L",3,2.5,85.00,0.5000,225.00,19125.00,112.5000,4.88%,100.00%,"C",false
