farol,codigo,produto_descricao,qtd_total,vencimento,dias_p_vencer,setor_origem,valoracao_rs,acoes_workstation
CRÍTICO (≤30D),838,CHOPP BRAHMA CLARO BARRIL KEG 50L,3 cx,2026-08-06,1d,CENTRAL,"R$ 255,00",DEMANDAR GIRO / CONCLUIR
CRÍTICO (≤30D),23269,SKOL BEATS GT LONG NECK 269ML SIX-PACK,5 cx,2026-08-18,13d,PICKING,"R$ 425,00",DEMANDAR GIRO / CONCLUIR
CRÍTICO (≤30D),21666,RED BULL TROPICAL BR LATA 250ML FOUR-PACK,306 cx,2026-08-24,19d,PICKING,"R$ 26.010,00",DEMANDAR GIRO / CONCLUIR
ALERTA (31-45D),31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,19 cx,2026-09-18,44d,PICKING,"R$ 1.615,00",DEMANDAR GIRO / CONCLUIR
